10	0.923302852513815	0.9189027985387254	0.9233563347704479	0.8808137142940327	0.727205560198389	0.8376580158477768	0.8468042833864311	0.8943723838388328	0.7607962806196765	0.857167762643876	117	60min	1.9743380842042764e-20
20	0.9181490506649824	0.9145451358616657	0.9194459315619208	0.8516171975053342	0.8220700714515361	0.8654193953700512	0.8718870798838686	0.8952226669418947	0.8015148719928662	0.8731770765869029	134	60min	0.0002752770840605459
30	0.9245209351345594	0.9211933454441898	0.9250986153830544	0.8316600260448709	0.8661075113006389	0.8823428667241083	0.8870005232952117	0.9014452605379594	0.8222602151603818	0.8779367417635039	142	60min	5.476076738589158e-08
40	0.9314489911610213	0.9284546698148334	0.9310159889088208	0.8113879901007801	0.8874329385808928	0.8875185108056383	0.8931216133159415	0.9070476375796916	0.8269722427377225	0.8745835819704711	147	60min	0.0003567657776610458
50	0.9375764735423633	0.9344604166988638	0.9362089931209389	0.7839853282213606	0.8983882099728484	0.8971285326210526	0.9036669254799021	0.9183060105466916	0.8355629816970866	0.8804991854808017	149	60min	0.00014662738724600317
60	0.9443356280867783	0.9412065880489809	0.9425656036507221	0.7503690625042346	0.9110732577636527	0.9031290769732069	0.9116460767807179	0.9287142273790208	0.8338351613027207	0.8810165908659022	146	60min	3.67986762771207e-45
70	0.9512947805020397	0.9485818066567441	0.94983877482354	0.7422333100865252	0.9153273985178959	0.9092491313071611	0.9189390206120787	0.9368467103820832	0.8348561305799678	0.880759311210853	139	60min	1.5261944873441172e-05
80	0.955565579890405	0.9531094408225633	0.9541836851146114	0.7530887815556331	0.9222234982245611	0.9147509816934462	0.9241345165951658	0.9410634898088243	0.8403777668285314	0.891025986303496	123	60min	2.467062258757745e-45
90	0.9526918848346945	0.9509225134544482	0.9525413603539542	0.8009123389785794	0.9124003323065222	0.9186361918504522	0.9248476585307913	0.9376001871855604	0.8589542281330801	0.8884474772346828	99	60min	9.941718482290623e-16
80	0.8559494653119918	0.8422049075732042	0.8498540312864954	0.673718812395841	0.8376915001166447	0.832253969023815	0.8330396028769185	0.8591875360066569	0.7203643949023727	0.818288059850383	75	6hours	0.001142060507626003
80	0.9681592527754601	0.9662961191493988	0.9666940184929835	0.7431108569610714	0.9497894026744949	0.9283894494064678	0.9376872086784566	0.9538362070251355	0.8768592430273959	0.9129535151328665	124	30min	9.9017506571729e-23
80	0.9742576577088562	0.9723639181798311	0.9732157312132038	0.7631905054149545	0.9597015591155896	0.9369313856991947	0.9463706157759773	0.9624309894618077	0.9046021135193364	0.9258132722483551	132	15min	7.604045087489248e-55
